Date,Open,High,Low,Close,Adj_Close,Volume
Sep 21 2021,	14991.25,	15163.50,	14963.75,	15024.00,	15024.00,	1001962
Sep 22 2021,	14992.25,	15227.00,	14929.25,	15163.50,	15163.50,	884473
Sep 23 2021,	15177.75,	15346.75,	15174.50,	15303.50,	15303.50,	678473
Sep 24 2021,	15298.75,	15334.00,	15176.75,	15318.75,	15318.75,	660547
Sep 27 2021,	15318.75,	15399.50,	15084.00,	15194.75,	15194.75,	793477
Sep 28 2021,	15172.50,	15192.25,	14740.75,	14764.75,	14764.75,	1284649
Sep 29 2021,	14770.00,	14926.25,	14711.00,	14739.75,	14739.75,	1269891
Sep 30 2021,	14762.00,	14884.00,	14670.00,	14682.50,	14682.50,	1245570
Oct 01 2021,	14700.50,	14818.00,	14537.00,	14761.75,	14761.75,	1245570
Oct 04 2021,	14781.00,	14835.75,	14367.75,	14488.50,	14488.50,	1603467
Oct 05 2021,	14488.50,	14754.50,	14410.00,	14653.00,	14653.00,	1000448
