Date,Open,High,Low,Close,Adj_Close,Volume
Dec 07 2020,	3695.00,	3705.00,	3672.25,	3690.75,	3690.75,	664937
Dec 04 2020,	3668.00,	3700.00,	3665.50,	3698.00,	3698.00,	567166
Dec 03 2020,	3671.00,	3682.00,	3655.25,	3664.50,	3664.50,	716871
Dec 02 2020,	3661.00,	3672.75,	3642.25,	3667.25,	3667.25,	678576
Dec 01 2020,	3631.25,	3677.50,	3625.75,	3660.50,	3660.50,	839881
Nov 30 2020,	3644.00,	3651.75,	3592.25,	3623.25,	3623.25,	993931
Nov 25 2020,	3635.75,	3655.00,	3615.25,	3627.25,	3627.25,	703798
Nov 24 2020,	3576.25,	3640.00,	3575.25,	3632.75,	3632.75,	763423
Nov 23 2020,	3546.25,	3596.00,	3545.00,	3576.00,	3576.00,	755342
Nov 20 2020,	3560.50,	3582.50,	3542.50,	3554.25,	3554.25,	754973
Nov 19 2020,	3561.75,	3582.50,	3542.00,	3580.00,	3580.00,	891717
Nov 18 2020,	3603.75,	3623.25,	3556.00,	3565.00,	3565.00,	974851
Nov 17 2020,	3626.00,	3630.00,	3584.00,	3606.75,	3606.75,	923520
Nov 16 2020,	3586.75,	3636.75,	3586.00,	3623.00,	3623.00,	853041
Nov 13 2020,	3538.00,	3590.00,	3518.25,	3582.00,	3582.00,	827963
Nov 12 2020,	3574.50,	3575.00,	3513.00,	3532.50,	3532.50,	1209448
Nov 11 2020,	3546.50,	3576.75,	3530.75,	3568.00,	3568.00,	978070
Nov 10 2020,	3549.25,	3562.75,	3506.25,	3541.00,	3541.00,	1651819
Nov 09 2020,	3522.50,	3668.75,	3515.75,	3544.00,	3544.00,	1805691
Nov 06 2020,	3509.00,	3519.00,	3456.50,	3500.75,	3500.75,	1103710
Nov 05 2020,	3447.75,	3522.50,	3428.00,	3504.75,	3504.75,	1113831
Nov 04 2020,	3362.50,	3480.00,	3319.25,	3435.00,	3435.00,	1504508
Nov 03 2020,	3304.25,	3382.75,	3301.25,	3361.50,	3361.50,	1055224
Nov 02 2020,	3262.25,	3323.50,	3243.25,	3300.50,	3300.50,	1313229
